n.title	avgrating
Close Shave, A (1995)	4.491071428571429
Schindler's List (1993)	4.466442953020135
Wrong Trousers, The (1993)	4.466101694915254
Casablanca (1942)	4.45679012345679
Wallace & Gromit: The Best of Aardman Animation (1996)	4.447761194029851
Shawshank Redemption, The (1994)	4.445229681978798
Rear Window (1954)	4.3875598086124405
Usual Suspects, The (1995)	4.385767790262173
Star Wars (1977)	4.3584905660377355
12 Angry Men (1957)	4.344
Third Man, The (1949)	4.333333333333333
Citizen Kane (1941)	4.292929292929293
Some Folks Call It a Sling Blade (1993)	4.2926829268292686
To Kill a Mockingbird (1962)	4.292237442922374
One Flew Over the Cuckoo's Nest (1975)	4.291666666666667
Silence of the Lambs, The (1991)	4.28974358974359
North by Northwest (1959)	4.284916201117318
Godfather, The (1972)	4.283292978208232
Secrets & Lies (1996)	4.265432098765432
Good Will Hunting (1997)	4.262626262626263
Shall We Dance? (1996)	4.260869565217392
Manchurian Candidate, The (1962)	4.259541984732825
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)	4.252577319587629
Raiders of the Lost Ark (1981)	4.252380952380952
Vertigo (1958)	4.251396648044692
Titanic (1997)	4.2457142857142856
Lawrence of Arabia (1962)	4.23121387283237
Paths of Glory (1957)	4.212121212121212
Maltese Falcon, The (1941)	4.2101449275362315
Empire Strikes Back, The (1980)	4.204359673024523
Boot, Das (1981)	4.203980099502488
Sunset Blvd. (1950)	4.2
Sling Blade (1996)	4.198529411764706
As Good As It Gets (1997)	4.196428571428571
Affair to Remember, An (1957)	4.1923076923076925
Godfather: Part II, The (1974)	4.186602870813397
African Queen, The (1951)	4.184210526315789
Bridge on the River Kwai, The (1957)	4.175757575757576
Cinema Paradiso (1988)	4.1735537190082646
Princess Bride, The (1987)	4.172839506172839
Amadeus (1984)	4.163043478260869
L.A. Confidential (1997)	4.161616161616162
Fargo (1996)	4.155511811023622
Raise the Red Lantern (1991)	4.155172413793103
Braveheart (1995)	4.151515151515151
Thin Man, The (1934)	4.15
Blade Runner (1982)	4.138181818181818
Henry V (1989)	4.137096774193548
Chinatown (1974)	4.136054421768708
Killing Fields, The (1984)	4.132231404958677
